@RELATION agosto_15_09_20_16_26
@ATTRIBUTE time_interval NUMERIC
@ATTRIBUTE avg_cn0_l1 NUMERIC
@ATTRIBUTE phi01l1 NUMERIC
@ATTRIBUTE phi03l1 NUMERIC
@ATTRIBUTE phi10l1 NUMERIC
@ATTRIBUTE phi30l1 NUMERIC
@ATTRIBUTE phi60l1 NUMERIC
@ATTRIBUTE avgccd_l1 NUMERIC
@ATTRIBUTE sigmaccd_l1 NUMERIC
@ATTRIBUTE tec_45 NUMERIC
@ATTRIBUTE dtec_6045 NUMERIC
@ATTRIBUTE tec_30 NUMERIC
@ATTRIBUTE dtec_4530 NUMERIC
@ATTRIBUTE tec_15 NUMERIC
@ATTRIBUTE dtec_3015 NUMERIC
@ATTRIBUTE tec NUMERIC
@ATTRIBUTE dtec_15tow NUMERIC
@ATTRIBUTE f2nd_tec_cn0 NUMERIC
@ATTRIBUTE si_l1 NUMERIC
@ATTRIBUTE numerator_si_l1 NUMERIC
@ATTRIBUTE p_l1 NUMERIC
@ATTRIBUTE avg_cn0_l2 NUMERIC
@ATTRIBUTE avgccd_l2c_e5a NUMERIC
@ATTRIBUTE sigmaccd_l2c_e5a NUMERIC
@ATTRIBUTE si_l2c_e5a NUMERIC
@ATTRIBUTE numerator_si_l2c_e5a NUMERIC
@ATTRIBUTE avg_cn0_l5_e5b NUMERIC
@ATTRIBUTE phi01_l5_e5b NUMERIC
@ATTRIBUTE phi03_l5_e5b NUMERIC
@ATTRIBUTE phi10_l5_e5b NUMERIC
@ATTRIBUTE phi30_l5_e5b NUMERIC
@ATTRIBUTE phi60_l5_e5b NUMERIC
@ATTRIBUTE avgccd_l5_e5b NUMERIC
@ATTRIBUTE sigmaccd_l5_e5b NUMERIC
@ATTRIBUTE si_l5_e5b NUMERIC
@ATTRIBUTE numerator_si_l5_e5b NUMERIC
@ATTRIBUTE p_l5_e5b NUMERIC
@ATTRIBUTE t_l1 NUMERIC
@ATTRIBUTE t_e5b NUMERIC
@ATTRIBUTE vphi60_l1 NUMERIC
@ATTRIBUTE vphi60_l5_e5b NUMERIC
@ATTRIBUTE vtec NUMERIC
@ATTRIBUTE s4 NUMERIC
@ATTRIBUTE class        {0.0}
@DATA
8.0,42.5,0.033,0.035,0.038,0.038,0.038,-7.412,0.174,30.884,-0.049,23.43,-0.039,18.832,-0.049,19.041,-0.053,27.9,0.053,5.169,1.68,39.9,-6.496,0.37,0.05,4.222,44.6,0.023,0.025,0.027,0.027,0.027,-5.862,0.158,0.023,2.204,1.73,1.53E-4,8.0E-5,0.022436071,0.01594142,6.637679,0.336,0.0
8.0,44.0,0.036,0.039,0.041,0.042,0.042,-7.248,0.198,22.069,-0.029,22.04,-0.054,19.555,-0.038,20.546,-0.071,30.6,0.036,3.598,1.62,41.2,-6.353,0.144,0.033,2.9,45.8,0.021,0.023,0.025,0.026,0.026,-5.653,0.099,0.015,1.495,1.68,1.64E-4,5.5E-5,0.040331837,0.024967328,18.946312,0.142,0.0
8.0,44.1,0.026,0.029,0.031,0.032,0.032,-7.49,0.151,22.526,-0.072,26.876,-0.051,26.229,-0.056,24.172,-0.053,30.6,0.024,2.398,1.66,41.2,-6.711,0.301,0.035,3.04,45.8,0.019,0.021,0.022,0.023,0.023,-5.545,0.22,0.016,1.537,1.67,9.7E-5,5.0E-5,0.03072902,0.022086482,22.289997,0.095,0.0
8.0,43.3,0.029,0.031,0.035,0.035,0.035,-7.436,0.149,21.374,-0.03,14.443,-0.047,8.932,-0.019,12.711,-0.044,28.8,0.036,3.541,1.69,39.2,-6.817,0.243,0.048,3.995,46.3,0.019,0.021,0.024,0.024,0.024,-5.879,0.096,0.021,2.045,1.64,1.27E-4,4.7E-5,0.033609863,0.023046764,11.721337,0.17,0.0
8.0,43.1,0.031,0.034,0.035,0.035,0.035,-7.807,0.245,21.459,-0.046,26.105,-0.027,29.542,-0.058,25.239,-0.04,29.1,0.027,2.648,1.6,40.9,-6.806,0.213,0.038,3.299,46.6,0.02,0.021,0.022,0.022,0.022,-5.744,0.12,0.019,1.893,1.76,1.26E-4,5.7E-5,0.033609863,0.0211262,23.273922,0.096,0.0
8.0,43.5,0.027,0.031,0.033,0.033,0.033,-7.343,0.273,20.707,-0.048,20.784,-0.039,16.424,-0.042,15.167,-0.027,28.8,0.045,4.523,1.79,40.0,-7.226,0.269,0.041,3.475,45.1,0.021,0.023,0.024,0.025,0.025,-6.336,0.08,0.021,2.068,1.68,1.26E-4,6.1E-5,0.03050726,0.023111561,12.962185,0.264,0.0
8.0,44.9,0.029,0.032,0.035,0.035,0.036,-7.334,0.191,12.635,-0.023,14.139,0.006,17.756,0.003,24.182,-0.048,30.1,0.027,2.801,1.93,40.1,-7.058,0.286,0.046,3.834,45.0,0.022,0.025,0.026,0.026,0.026,-6.444,0.129,0.024,2.316,1.74,1.51E-4,7.3E-5,0.033280645,0.024036024,20.666681,0.122,0.0
8.0,44.0,0.026,0.028,0.029,0.03,0.03,-7.554,0.145,24.106,-0.044,19.156,-0.019,18.232,-0.0,19.26,0.0,29.0,0.032,3.255,1.72,39.9,-7.069,0.485,0.042,3.537,44.6,0.024,0.026,0.027,0.027,0.027,-6.105,0.24,0.023,2.161,1.72,9.1E-5,8.1E-5,0.027733872,0.024960486,16.46019,0.14,0.0
8.0,43.4,0.027,0.031,0.032,0.032,0.032,-7.758,0.254,20.26,-0.011,15.338,-0.034,22.906,-0.028,25.029,-0.027,27.6,0.042,4.211,1.85,39.0,-7.481,0.252,0.045,3.678,45.5,0.022,0.024,0.025,0.025,0.025,-5.892,0.204,0.03,2.891,1.7,1.15E-4,6.6E-5,0.029582798,0.023111561,21.390553,0.194,0.0
8.0,42.6,0.027,0.029,0.031,0.031,0.031,-7.733,0.238,13.901,0.0,8.675,-0.015,16.585,-0.066,16.166,-0.055,26.3,0.042,4.123,1.68,37.9,-7.875,0.279,0.062,4.943,46.6,0.021,0.024,0.025,0.025,0.025,-5.604,0.13,0.017,1.652,1.84,9.5E-5,7.1E-5,0.017493492,0.014107655,5.147925,0.222,0.0
